"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"251811352140730368","","","251625116704854016","15736190","2012-09-28 22:31:19 +0000","web","RT @smashingmag: An interesting talk about Web performance in general and the basic architecture of Webkit / Chromium - http://t.co/BIgy ..."
"251809371011575808","","","","","2012-09-28 22:23:27 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","Just got hit with @facebook ?s new photo display:

http://t.co/6SXwaJbP","http://share.manikrathee.com/JnvY"
"251808959093174273","251808781606985728","15648633","","","2012-09-28 22:21:48 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@yahelc @samarthbhaskar I use TM2 for basic text editing and am incredibly annoyed by the updates every 5 seconds."
"251808401091358720","251808122887352321","15648633","","","2012-09-28 22:19:35 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@yahelc @samarthbhaskar if you do, you will never look back.

related: http://t.co/VCa4SX1X","http://share.manikrathee.com/3r1O1C192F0W"
"251805696453128192","","","","","2012-09-28 22:08:51 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Ok, I love this.

The video from @StrangeNative &amp; @jessicahische 's wedding / http://t.co/dkh3wPm1","http://bit.ly/PxgqJL"
"251805025322545153","251773446059601920","24026819","","","2012-09-28 22:06:11 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@StrangeNative @jessicahische Ah you guys got married at the Green Building!

I shot a few weddings there before. Love that place."
"251801448260706306","","","","","2012-09-28 21:51:58 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Homophobic language isn't always meant to be hurtful, but how often do we use it without thinking? / http://t.co/0OfAsjKr #NoHomophobes","http://bit.ly/PxdhcM"
"251799319815020546","","","251590141708230656","89391197","2012-09-28 21:43:30 +0000","web","RT @Josephmark_: We've been asked who did the amazing @Myspace video ? say hello to our motion sister studio @_BREEDER_ http://t.co/oxc8neN8","http://studiobreeder.com"
"251799175753236481","","89391197","","","2012-09-28 21:42:56 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","The team behind new myspace: 

@Josephmark_"
"251787659385638913","","","","","2012-09-28 20:57:10 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","What happens to our brains when we exercise and how it makes us happier / http://t.co/TrAjgxiH","http://bit.ly/Qr41d6"
"251781888627339264","","","","","2012-09-28 20:34:14 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","My notes from @brad_frost 's talk this morning about the Future Friendly Web are on the blog / http://t.co/m8PjcWRU","http://bit.ly/Ltn441"
